"DRNAREA, square miles","ELEVMAX, feet","MINBELEV, feet","RELIEF, feet","sample","ELEV, feet","LC01CRPHAY, percent","LC01DEV, percent","LC01WETLND, percent","PRECIP, inches","BSLDEM30M, percent","CHANWD_RS, feet","CONTDA, square miles","EL5000, percent","EL6000, percent","ET0306MOD, inches","ET0710MOD, inches","FOREST, percent","IRRIGAT_MT, percent","LAKESNHDH, percent","NFSL30_30M, percent","SLOP30_30M, percent","SLOP50_30M, percent","TEMP, degrees F","WACTCH, feet","WBANKFULL, feet","BRMETA, percent","CPSED, percent","I24H2Y, inches","LC01BARE, percent","LC01FORSHB, percent","LC01HERB, percent","LC01IMP, percent","LC01WATER, percent","LC06BARE, percent","LC06CRPHAY, percent","LC06DEV, percent","LC06FORSHB, percent","LC06GRASS, percent","LC06IMP, percent","LC06WATER, percent","LC06WETLND, percent","LC11BARE, percent","LC11CRPHAY, percent","LC11DEV, percent","LC11FORSHB, percent","LC11GRASS, percent","LC11IMP, percent","LC11WATER, percent","LC11WETLND, percent","LFREGNO, dimensionless","MESZOIC, percent","PDIGMET, percent","PKREGNO, dimensionless","STATOM19_8, percent","STATOM55_7, percent","STATSCLAY10, percent","STATSCLY20, percent","STATSCLY30, percent","STATSCLY40, percent","STATSCLY50, percent","STATSCLY60, percent","STATSGODEP, inches","STATSOM0_5, percent","STATSOM2_6, percent","STATSOM7_3, percent","STATSPERM, inches per hour","STATSWATCP, inch per inch","VRCARB, percent","VRPLSLC, percent","BASINPERIM, miles","BASLENAH, miles","CSL1085RAW, feet per mi","CSL10_85, feet per mi","FLC11DVLMH, decimal fraction","FSSURGDC78, decimal fraction","ILREG1, dimensionless","ILREG3, dimensionless","ILREG5, dimensionless","ILREG6, dimensionless","ILREG7, dimensionless","RELRELF, feet per mi","SOILPERM, inches per hour","URBTHE2010, dimensionless","WATWET, percent"
"0.2","9124","7114","2010","data/Middle_Cottonwood_3B_doi.org_10.1016_j.watres.2018.10.013.kml - Middle_Cottonwood_3B_doi.org_10.1016_j.watres.2018.10.013.kml.csv","8328.1","0","0","0","36.4","41.9","0","0.2","100","100","1.67","1.29","71.5","0","0","36.1","76.6","29.1","34.71","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.8","6988","5697","1291","data/Sourdough_1A_doi.org_10.1016_j.watres.2018.10.013 - Sourdough_1A_doi.org_10.1016_j.watres.2018.10.013.csv","6208.8","0","0","0","18.56","16","0","1.8","100","61.4","1.71","1.32","21.9","0","0","0.6","8.5","0.6","37.92","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.8","9974","6709","3266","data/Porcupine_3B_doi.org_10.1016_j.watres.2018.10.013 - Porcupine_3B_doi.org_10.1016_j.watres.2018.10.013.csv","8357","0","0","0","36.81","34.8","0","10.8","100","100","1.72","1.46","83.6","0","0","13.6","53.4","21.6","33.71","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11.6","10301","6258","4043","data/Storm_Castle_3A_doi.org_10.1016_j.watres.2018.10.013 - Storm_Castle_3A_doi.org_10.1016_j.watres.2018.10.013.csv","8070.6","0","0","0","37.06","50.9","0","11.6","100","100","1.64","1.44","75.4","0","0","28.3","81.5","52.7","34.36","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15.02","669","579","90.4","data/upstream_doi.org_10.1021_es503610r - upstream_doi.org_10.1021_es503610r.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25.12","5.8","5.568","5.488","0.934","0.008","1","1","1","1","1","3.6","3.999","0.941","0.518"
"22","2483.03","1729.28","754","data/Stroubles_doi.org_10.1016_j.jwpe.2020.101640 - Stroubles_doi.org_10.1016_j.jwpe.2020.101640.csv","2079.79","17.85","41.72","0","40.98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","2.686","0","40.41","0","15.5","0.02","0.36","16.37","43.57","39.56","0.11","16.29","0.02","0.01","0.01","15.63","44.7","39.53","0.13","17.4","0.02","0.01","1547","0","0","1554","0","0","0","37.72","0","0","0","62.28","52.94","62.26","37.74","0","2.497","0.116","32.11","67.89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39.3","9580","7040","2540","data/Portal_Creek_3A_doi.org_10.1016_j.watres.2018.10.013 - Portal_Creek_3A_doi.org_10.1016_j.watres.2018.10.013.csv","8232.5","0","0","0","31.26","23.2","0","39.3","100","100","1.46","1.52","34.6","0","0","4","24.7","6.2","33.22","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","3926.21","893.84","3030","data/Roanoke_doi.org_10.1016_j.jwpe.2020.101640 - Roanoke_doi.org_10.1016_j.jwpe.2020.101640.csv","1874.28","9.68","19.25","0.03","41.713",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.93","0","2.951","0.04","70.9","0.01","5.93","0.09","0.07","9.5","19.5","70.4","0.4","6.03","0.09","0.04","0.08","9.33","19.8","69.71","0.94","6.24","0.09","0.04","1547","0","0","1554","0","0","0.39","25.56","24.09","22.96","0","27","50.65","55.81","44.19","0","2.519","0.11","20.11","65.96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4.7","9465","5423","4042","data/North_Cottonwood_3B_doi.org_10.1016_j.watres.2018.10.013 - North_Cottonwood_3B_doi.org_10.1016_j.watres.2018.10.013.csv","7715.9","0","0","0","47.23","47.7","0","4.7","100","94.6","1.45","1.18","76.6","0","0","30.1","80.7","46.6","36.16","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53.2","11268","6925","4343","data/Taylor_Fork_2A_doi.org_10.1016_j.watres.2018.10.013.kml - Taylor_Fork_2A_doi.org_10.1016_j.watres.2018.10.013.kml.csv","8559.6","0","0","2","35.05","30.7","0","53.2","100","100","1.69","1.4","55.8","0","0","12.2","38.6","17.1","32.32","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81.3","10709","5309","5400","data/Sourdough_1B_doi.org_10.1016_j.watres.2018.10.013 - Sourdough_1B_doi.org_10.1016_j.watres.2018.10.013.csv","7354.3","0","0","1","31.41","30.8","0","81.3","100","87","1.64","1.44","56.7","0","0","17.4","41.5","17.7","36.66","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
